year_month	county	hd	sd	cd	party	count
12/1/2012	KLAMATH	55	28	2	Republican	1918
12/1/2012	KLAMATH	56	28	2	Democrat	7525
12/1/2012	KLAMATH	56	28	2	Independent Party	1431
12/1/2012	KLAMATH	56	28	2	NAV+	6245
12/1/2012	KLAMATH	56	28	2	Republican	14952
12/1/2012	LAKE	55	28	2	Democrat	298
12/1/2012	LAKE	55	28	2	Independent Party	79
12/1/2012	LAKE	55	28	2	NAV+	278
12/1/2012	LAKE	55	28	2	Republican	693
12/1/2012	LAKE	56	28	2	Democrat	559
12/1/2012	LAKE	56	28	2	Independent Party	117
12/1/2012	LAKE	56	28	2	NAV+	406
12/1/2012	LAKE	56	28	2	Republican	1419
12/1/2012	LAKE	60	30	2	Democrat	76
12/1/2012	LAKE	60	30	2	Independent Party	21
12/1/2012	LAKE	60	30	2	NAV+	48
12/1/2012	LAKE	60	30	2	Republican	261
12/1/2012	LANE	7	4	4	Democrat	6836
12/1/2012	LANE	7	4	4	Independent Party	784
12/1/2012	LANE	7	4	4	NAV+	4525
12/1/2012	LANE	7	4	4	Republican	6506
12/1/2012	LANE	8	4	4	Democrat	21530
12/1/2012	LANE	8	4	4	Independent Party	1698
12/1/2012	LANE	8	4	4	NAV+	10542
12/1/2012	LANE	8	4	4	Republican	9396
12/1/2012	LANE	9	5	4	Democrat	4629
12/1/2012	LANE	9	5	4	Independent Party	599
12/1/2012	LANE	9	5	4	NAV+	2496
12/1/2012	LANE	9	5	4	Republican	4070
12/1/2012	LANE	11	6	4	Democrat	14185
12/1/2012	LANE	11	6	4	Independent Party	1442
12/1/2012	LANE	11	6	4	NAV+	7505
12/1/2012	LANE	11	6	4	Republican	8068
12/1/2012	LANE	12	6	4	Democrat	13410
12/1/2012	LANE	12	6	4	Independent Party	1565
12/1/2012	LANE	12	6	4	NAV+	8987
12/1/2012	LANE	12	6	4	Republican	9294
12/1/2012	LANE	13	7	4	Democrat	17662
12/1/2012	LANE	13	7	4	Independent Party	1846
12/1/2012	LANE	13	7	4	NAV+	9976
12/1/2012	LANE	13	7	4	Republican	10458
12/1/2012	LANE	14	7	4	Democrat	15266
12/1/2012	LANE	14	7	4	Independent Party	1698
12/1/2012	LANE	14	7	4	NAV+	9595
12/1/2012	LANE	14	7	4	Republican	11127
12/1/2012	LINCOLN	9	5	5	Democrat	301
12/1/2012	LINCOLN	9	5	5	Independent Party	19
12/1/2012	LINCOLN	9	5	5	NAV+	106
12/1/2012	LINCOLN	9	5	5	Republican	145
12/1/2012	LINCOLN	10	5	5	Democrat	11449
12/1/2012	LINCOLN	10	5	5	Independent Party	1389
12/1/2012	LINCOLN	10	5	5	NAV+	7021
12/1/2012	LINCOLN	10	5	5	Republican	7313
12/1/2012	LINN	11	6	4	Democrat	2490
12/1/2012	LINN	11	6	4	Independent Party	429
12/1/2012	LINN	11	6	4	NAV+	1940
12/1/2012	LINN	11	6	4	Republican	3980
12/1/2012	LINN	15	8	4	Democrat	10015
12/1/2012	LINN	15	8	4	Independent Party	1455
12/1/2012	LINN	15	8	4	NAV+	7258
12/1/2012	LINN	15	8	4	Republican	10693
12/1/2012	LINN	17	9	4	Democrat	8324
12/1/2012	LINN	17	9	4	Independent Party	1366
12/1/2012	LINN	17	9	4	NAV+	6672
12/1/2012	LINN	17	9	4	Republican	10480
12/1/2012	MALHEUR	60	30	2	Democrat	2817
12/1/2012	MALHEUR	60	30	2	Independent Party	378
12/1/2012	MALHEUR	60	30	2	NAV+	3037
12/1/2012	MALHEUR	60	30	2	Republican	6176
12/1/2012	MARION	17	9	5	Democrat	2746
12/1/2012	MARION	17	9	5	Independent Party	379
12/1/2012	MARION	17	9	5	NAV+	1961
12/1/2012	MARION	17	9	5	Republican	4214
12/1/2012	MARION	18	9	5	Democrat	6347
12/1/2012	MARION	18	9	5	Independent Party	820
12/1/2012	MARION	18	9	5	NAV+	4220
12/1/2012	MARION	18	9	5	Republican	8311
12/1/2012	MARION	19	10	5	Democrat	11862
12/1/2012	MARION	19	10	5	Independent Party	1480
12/1/2012	MARION	19	10	5	NAV+	7812
12/1/2012	MARION	19	10	5	Republican	13763
12/1/2012	MARION	20	10	5	Democrat	4880
12/1/2012	MARION	20	10	5	Independent Party	493
12/1/2012	MARION	20	10	5	NAV+	2670
12/1/2012	MARION	20	10	5	Republican	4732
12/1/2012	MARION	21	11	5	Democrat	11626
12/1/2012	MARION	21	11	5	Independent Party	1143
12/1/2012	MARION	21	11	5	NAV+	7110
12/1/2012	MARION	21	11	5	Republican	7821
12/1/2012	MARION	22	11	5	Democrat	8043
12/1/2012	MARION	22	11	5	Independent Party	835
12/1/2012	MARION	22	11	5	NAV+	5538
12/1/2012	MARION	22	11	5	Republican	5910
12/1/2012	MARION	23	12	5	Democrat	1542
12/1/2012	MARION	23	12	5	Independent Party	228
12/1/2012	MARION	23	12	5	NAV+	1211
12/1/2012	MARION	23	12	5	Republican	2459
12/1/2012	MARION	25	13	5	Democrat	7047
12/1/2012	MARION	25	13	5	Independent Party	902
12/1/2012	MARION	25	13	5	NAV+	4749
12/1/2012	MARION	25	13	5	Republican	8615
12/1/2012	MARION	39	20	5	Democrat	8
12/1/2012	MARION	39	20	5	Independent Party	5
12/1/2012	MARION	39	20	5	NAV+	4
12/1/2012	MARION	39	20	5	Republican	20
12/1/2012	MARION	59	30	5	NAV+	0
12/1/2012	MORROW	57	29	2	Democrat	1404
12/1/2012	MORROW	57	29	2	Independent Party	246
12/1/2012	MORROW	57	29	2	NAV+	1260
12/1/2012	MORROW	57	29	2	Republican	2032
12/1/2012	MULTNOMAH	27	14	1	Democrat	39
12/1/2012	MULTNOMAH	27	14	1	Independent Party	2
12/1/2012	MULTNOMAH	27	14	1	NAV+	4
12/1/2012	MULTNOMAH	27	14	1	Republican	13
12/1/2012	MULTNOMAH	27	14	3	Democrat	747
12/1/2012	MULTNOMAH	27	14	3	Independent Party	46
12/1/2012	MULTNOMAH	27	14	3	NAV+	236
12/1/2012	MULTNOMAH	27	14	3	Republican	444
12/1/2012	MULTNOMAH	31	16	1	Democrat	1911
12/1/2012	MULTNOMAH	31	16	1	Independent Party	121
12/1/2012	MULTNOMAH	31	16	1	NAV+	989
12/1/2012	MULTNOMAH	31	16	1	Republican	1009
12/1/2012	MULTNOMAH	33	17	1	Democrat	7583
12/1/2012	MULTNOMAH	33	17	1	Independent Party	621
12/1/2012	MULTNOMAH	33	17	1	NAV+	3647
12/1/2012	MULTNOMAH	33	17	1	Republican	1940
12/1/2012	MULTNOMAH	35	18	1	Democrat	2258
12/1/2012	MULTNOMAH	35	18	1	Independent Party	147
12/1/2012	MULTNOMAH	35	18	1	NAV+	940
12/1/2012	MULTNOMAH	35	18	1	Republican	808
12/1/2012	MULTNOMAH	35	18	3	Democrat	442
12/1/2012	MULTNOMAH	35	18	3	Independent Party	20
12/1/2012	MULTNOMAH	35	18	3	NAV+	173
12/1/2012	MULTNOMAH	35	18	3	Republican	105
12/1/2012	MULTNOMAH	35	18	5	Democrat	473
12/1/2012	MULTNOMAH	35	18	5	Independent Party	45
12/1/2012	MULTNOMAH	35	18	5	NAV+	211
12/1/2012	MULTNOMAH	35	18	5	Republican	223
12/1/2012	MULTNOMAH	36	18	1	Democrat	8661
12/1/2012	MULTNOMAH	36	18	1	Independent Party	578
12/1/2012	MULTNOMAH	36	18	1	NAV+	3684
12/1/2012	MULTNOMAH	36	18	1	Republican	2121
12/1/2012	MULTNOMAH	36	18	3	Democrat	15738
12/1/2012	MULTNOMAH	36	18	3	Independent Party	1424
12/1/2012	MULTNOMAH	36	18	3	NAV+	8234
12/1/2012	MULTNOMAH	36	18	3	Republican	4069
12/1/2012	MULTNOMAH	38	19	3	Democrat	10276
12/1/2012	MULTNOMAH	38	19	3	Independent Party	716
12/1/2012	MULTNOMAH	38	19	3	NAV+	4436
12/1/2012	MULTNOMAH	38	19	3	Republican	3080
12/1/2012	MULTNOMAH	38	19	5	Democrat	1278
12/1/2012	MULTNOMAH	38	19	5	Independent Party	99
12/1/2012	MULTNOMAH	38	19	5	NAV+	506
12/1/2012	MULTNOMAH	38	19	5	Republican	593
12/1/2012	MULTNOMAH	41	21	3	Democrat	9931
12/1/2012	MULTNOMAH	41	21	3	Independent Party	563
12/1/2012	MULTNOMAH	41	21	3	NAV+	4207
12/1/2012	MULTNOMAH	41	21	3	Republican	2093
12/1/2012	MULTNOMAH	42	21	3	Democrat	27187
12/1/2012	MULTNOMAH	42	21	3	Independent Party	1693
12/1/2012	MULTNOMAH	42	21	3	NAV+	14726
12/1/2012	MULTNOMAH	42	21	3	Republican	2890
12/1/2012	MULTNOMAH	43	22	3	Democrat	29881
12/1/2012	MULTNOMAH	43	22	3	Independent Party	1479
12/1/2012	MULTNOMAH	43	22	3	NAV+	12992
12/1/2012	MULTNOMAH	43	22	3	Republican	2655
12/1/2012	MULTNOMAH	44	22	3	Democrat	21420
12/1/2012	MULTNOMAH	44	22	3	Independent Party	1270
12/1/2012	MULTNOMAH	44	22	3	NAV+	11101
12/1/2012	MULTNOMAH	44	22	3	Republican	3716
12/1/2012	MULTNOMAH	45	23	3	Democrat	24136
12/1/2012	MULTNOMAH	45	23	3	Independent Party	1376
12/1/2012	MULTNOMAH	45	23	3	NAV+	10409
12/1/2012	MULTNOMAH	45	23	3	Republican	5921
12/1/2012	MULTNOMAH	46	23	3	Democrat	21310
12/1/2012	MULTNOMAH	46	23	3	Independent Party	1320
12/1/2012	MULTNOMAH	46	23	3	NAV+	11148
12/1/2012	MULTNOMAH	46	23	3	Republican	4870
12/1/2012	MULTNOMAH	47	24	3	Democrat	14313
12/1/2012	MULTNOMAH	47	24	3	Independent Party	1045
12/1/2012	MULTNOMAH	47	24	3	NAV+	8571
12/1/2012	MULTNOMAH	47	24	3	Republican	6554
12/1/2012	MULTNOMAH	48	24	3	Democrat	6333
12/1/2012	MULTNOMAH	48	24	3	Independent Party	530
12/1/2012	MULTNOMAH	48	24	3	NAV+	4785
12/1/2012	MULTNOMAH	48	24	3	Republican	2290
12/1/2012	MULTNOMAH	48	24	5	Democrat	574
12/1/2012	MULTNOMAH	48	24	5	Independent Party	70
12/1/2012	MULTNOMAH	48	24	5	NAV+	410
12/1/2012	MULTNOMAH	48	24	5	Republican	407
12/1/2012	MULTNOMAH	49	25	3	Democrat	12335
12/1/2012	MULTNOMAH	49	25	3	Independent Party	1355
12/1/2012	MULTNOMAH	49	25	3	NAV+	8506
12/1/2012	MULTNOMAH	49	25	3	Republican	8140
12/1/2012	MULTNOMAH	50	25	3	Democrat	12330
12/1/2012	MULTNOMAH	50	25	3	Independent Party	1255
12/1/2012	MULTNOMAH	50	25	3	NAV+	8345
12/1/2012	MULTNOMAH	50	25	3	Republican	9136
12/1/2012	MULTNOMAH	51	26	3	Democrat	6285
12/1/2012	MULTNOMAH	51	26	3	Independent Party	527
12/1/2012	MULTNOMAH	51	26	3	NAV+	4370
12/1/2012	MULTNOMAH	51	26	3	Republican	3608
12/1/2012	MULTNOMAH	52	26	3	Democrat	2817
12/1/2012	MULTNOMAH	52	26	3	Independent Party	308
12/1/2012	MULTNOMAH	52	26	3	NAV+	1878
12/1/2012	MULTNOMAH	52	26	3	Republican	2922
12/1/2012	POLK	10	5	5	Democrat	596
12/1/2012	POLK	10	5	5	Independent Party	72
12/1/2012	POLK	10	5	5	NAV+	484
12/1/2012	POLK	10	5	5	Republican	448
12/1/2012	POLK	20	10	5	Democrat	8694
12/1/2012	POLK	20	10	5	Independent Party	1136
12/1/2012	POLK	20	10	5	NAV+	5543
12/1/2012	POLK	20	10	5	Republican	8699
12/1/2012	POLK	23	12	5	Democrat	5781
12/1/2012	POLK	23	12	5	Independent Party	717
12/1/2012	POLK	23	12	5	NAV+	3917
12/1/2012	POLK	23	12	5	Republican	7873
12/1/2012	SHERMAN	57	29	2	Democrat	349
12/1/2012	SHERMAN	57	29	2	Independent Party	34
12/1/2012	SHERMAN	57	29	2	NAV+	240
12/1/2012	SHERMAN	57	29	2	Republican	604
12/1/2012	TILLAMOOK	10	5	5	Democrat	2012
12/1/2012	TILLAMOOK	10	5	5	Independent Party	209
12/1/2012	TILLAMOOK	10	5	5	NAV+	1120
12/1/2012	TILLAMOOK	10	5	5	Republican	1767
12/1/2012	TILLAMOOK	32	16	5	Democrat	4005
12/1/2012	TILLAMOOK	32	16	5	Independent Party	383
12/1/2012	TILLAMOOK	32	16	5	NAV+	2388
12/1/2012	TILLAMOOK	32	16	5	Republican	3143
12/1/2012	UMATILLA	57	29	2	Democrat	4745
12/1/2012	UMATILLA	57	29	2	Independent Party	751
12/1/2012	UMATILLA	57	29	2	NAV+	5350
12/1/2012	UMATILLA	57	29	2	Republican	6801
12/1/2012	UMATILLA	58	29	2	Democrat	4384
12/1/2012	UMATILLA	58	29	2	Independent Party	709
12/1/2012	UMATILLA	58	29	2	NAV+	4009
12/1/2012	UMATILLA	58	29	2	Republican	6683
12/1/2012	UNION	58	29	2	Democrat	4234
12/1/2012	UNION	58	29	2	Independent Party	664
12/1/2012	UNION	58	29	2	NAV+	3580
12/1/2012	UNION	58	29	2	Republican	7217
12/1/2012	WALLOWA	58	29	2	Democrat	1271
12/1/2012	WALLOWA	58	29	2	Independent Party	151
12/1/2012	WALLOWA	58	29	2	NAV+	876
12/1/2012	WALLOWA	58	29	2	Republican	2496
12/1/2012	WASCO	57	29	2	Democrat	369
12/1/2012	WASCO	57	29	2	Independent Party	55
12/1/2012	WASCO	57	29	2	NAV+	350
12/1/2012	WASCO	57	29	2	Republican	644
12/1/2012	WASCO	59	30	2	Democrat	4753
12/1/2012	WASCO	59	30	2	Independent Party	481
12/1/2012	WASCO	59	30	2	NAV+	3168
12/1/2012	WASCO	59	30	2	Republican	3962
12/1/2012	WASHINGTON	24	12	1	Democrat	2569
12/1/2012	WASHINGTON	24	12	1	Independent Party	314
12/1/2012	WASHINGTON	24	12	1	NAV+	1867
12/1/2012	WASHINGTON	24	12	1	Republican	2700
12/1/2012	WASHINGTON	25	13	1	Democrat	1
12/1/2012	WASHINGTON	26	13	1	Democrat	9589
12/1/2012	WASHINGTON	26	13	1	Independent Party	1190
12/1/2012	WASHINGTON	26	13	1	NAV+	6579
12/1/2012	WASHINGTON	26	13	1	Republican	10632
12/1/2012	WASHINGTON	27	14	1	Democrat	16311
12/1/2012	WASHINGTON	27	14	1	Independent Party	1558
12/1/2012	WASHINGTON	27	14	1	NAV+	9109
12/1/2012	WASHINGTON	27	14	1	Republican	10368
12/1/2012	WASHINGTON	28	14	1	Democrat	13848
12/1/2012	WASHINGTON	28	14	1	Independent Party	1362
12/1/2012	WASHINGTON	28	14	1	NAV+	9701
12/1/2012	WASHINGTON	28	14	1	Republican	9590
12/1/2012	WASHINGTON	29	15	1	Democrat	10830
12/1/2012	WASHINGTON	29	15	1	Independent Party	1090
12/1/2012	WASHINGTON	29	15	1	NAV+	8210
12/1/2012	WASHINGTON	29	15	1	Republican	8689
12/1/2012	WASHINGTON	30	15	1	Democrat	12627
12/1/2012	WASHINGTON	30	15	1	Independent Party	1478
12/1/2012	WASHINGTON	30	15	1	NAV+	9998
12/1/2012	WASHINGTON	30	15	1	Republican	10361
12/1/2012	WASHINGTON	31	16	1	Democrat	1903
12/1/2012	WASHINGTON	31	16	1	Independent Party	210
12/1/2012	WASHINGTON	31	16	1	NAV+	1536
12/1/2012	WASHINGTON	31	16	1	Republican	1852
12/1/2012	WASHINGTON	32	16	1	Democrat	2143
12/1/2012	WASHINGTON	32	16	1	Independent Party	240
12/1/2012	WASHINGTON	32	16	1	NAV+	1597
12/1/2012	WASHINGTON	32	16	1	Republican	2435
12/1/2012	WASHINGTON	33	17	1	Democrat	10889
12/1/2012	WASHINGTON	33	17	1	Independent Party	1090
12/1/2012	WASHINGTON	33	17	1	NAV+	7433
